Account: ID;Rate Plan Charge: ID;Invoice Item: Charge Amount;Invoice Item: Processing Type;Invoice Item: Service Start Date;Invoice Item: Service End Date;Invoice Item: Charge Date;Invoice Item: ID;Subscription: SubscriptionId;Invoice Item: AppliedToInvoiceItemId;Invoice Item: Quantity;Invoice Item: UOM;Invoice Item: ChargeType;SubscriptionNumber;Rate Plan Charge: Charge Number
2c92c0f9626c87e001626e7566ef619c;2c92c0f8660fb5d8016615c1e75203d7;2500;Charge;01/04/2019;30/04/2019;11/11/2018 01:01;6fe2ac650b9443d8b4ddb7383273b07d;2c92c0f8660fb5d8016615c1e72903d1;;1;;Recurring;A-S00017452;C-00055948
2c92c0f9626c87e001626e7566ef619c;2c92c0f8660fb5d8016615c1e75203d7;2500;Charge;01/05/2019;31/05/2019;11/11/2018 01:01;0dd623ce03234e58a0b2a8cb38b081ba;2c92c0f8660fb5d8016615c1e72903d1;;1;;Recurring;A-S00017452;C-00055948
2c92c0f9626c87e001626e7566ef619c;2c92c0f8661febcc016643a81b534140;100;Charge;01/03/2019;31/03/2019;11/11/2018 01:01;885b60bc9e6c499096d680ceea77c7fa;2c92c0f8661febcc016643a81aeb412c;;1;;Recurring;A-S00017493;C-00056026
2c92c0f9626c87e001626e7566ef619c;2c92c0f8661febcc016643a81b534140;100;Charge;01/04/2019;30/04/2019;11/11/2018 01:01;47f527632fcb46099c4db5bae94a11a7;2c92c0f8661febcc016643a81aeb412c;;1;;Recurring;A-S00017493;C-00056026
2c92c0f9626c87e001626e7566ef619c;2c92c0f8661febcc016643a81b534140;100;Charge;01/05/2019;31/05/2019;11/11/2018 01:01;703ca58ace8c4968898e447549ebd4a0;2c92c0f8661febcc016643a81aeb412c;;1;;Recurring;A-S00017493;C-00056026
2c92c0f9626c87e001626e7566ef619c;2c92c0f86680fd090166a1011dfb7474;100;Charge;01/03/2019;31/03/2019;11/11/2018 01:01;d720cd8bf78e4336b23d31f63717d87e;2c92c0f86680fd090166a1011d72746c;;1;;Recurring;A-S00017533;C-00056107
2c92c0f9626c87e001626e7566ef619c;2c92c0f86680fd090166a1011dfb7474;100;Charge;01/04/2019;30/04/2019;11/11/2018 01:01;9f198aab6a0b48bbb4e282cf74461aac;2c92c0f86680fd090166a1011d72746c;;1;;Recurring;A-S00017533;C-00056107
2c92c0f9626c87e001626e7566ef619c;2c92c0f86680fd090166a1011dfb7474;100;Charge;01/05/2019;31/05/2019;11/11/2018 01:01;2a05880290ee4ef598a197e37f293745;2c92c0f86680fd090166a1011d72746c;;1;;Recurring;A-S00017533;C-00056107
2c92c0f9626c87e001626e7566ef619c;2c92c0f962ba137e0162be37b8ca1c8b;0;Charge;31/03/2019;29/04/2019;11/11/2018 01:01;6d5d7f7a1df24c108ac657f15293ca38;2c92c0f962ba137e0162be37b89a1c85;;0;MAP;Usage;A-S00016884;C-00054852
2c92c0f9626c87e001626e7566ef619c;2c92c0f965d280590165ec32ac484304;500;Charge;01/05/2019;31/05/2019;11/11/2018 01:01;382b63fe62fe44308d160db1f4cd608d;2c92c0f965d280590165ec32ac0142f9;;1;;Recurring;A-S00017389;C-00055849
